29,116,41,658,0.155913978,0.623655914,0.220430108,0.145115189,0.619367559,0.235517252
29,117,42,658,0.154255319,0.622340426,0.223404255,,,
28,119,44,658,0.146596859,0.623036649,0.230366492,,,
28,118,43,658,0.148148148,0.624338624,0.227513228,,,
27,117,42,658,0.14516129,0.629032258,0.225806452,,,
15,58,19,653,0.163043478,0.630434783,0.206521739,,,
24,89,30,656,0.167832168,0.622377622,0.20979021,,,
27,110,36,656,0.156069364,0.63583815,0.208092486,,,
22,101,42,656,0.133333333,0.612121212,0.254545455,,,
22,97,42,656,0.136645963,0.602484472,0.260869565,,,
20,91,40,655,0.132450331,0.602649007,0.264900662,,,
21,92,41,656,0.136363636,0.597402597,0.266233766,,,
28,115,40,658,0.153005464,0.628415301,0.218579235,,,
25,93,32,657,0.166666667,0.62,0.213333333,,,
29,121,46,657,0.147959184,0.617346939,0.234693878,,,
19,85,39,655,0.132867133,0.594405594,0.272727273,,,
18,69,33,654,0.15,0.575,0.275,,,
24,104,43,657,0.140350877,0.608187135,0.251461988,,,
20,74,36,655,0.153846154,0.569230769,0.276923077,,,
14,47,31,652,0.152173913,0.510869565,0.336956522,,,
12,49,32,652,0.129032258,0.52688172,0.344086022,,,
15,65,37,653,0.128205128,0.555555556,0.316239316,,,
20,78,41,656,0.143884892,0.561151079,0.294964029,,,
21,81,41,656,0.146853147,0.566433566,0.286713287,,,
23,93,40,653,0.147435897,0.596153846,0.256410256,,,
23,100,41,657,0.140243902,0.609756098,0.25,,,
24,108,40,657,0.139534884,0.627906977,0.23255814,,,
22,107,39,656,0.130952381,0.636904762,0.232142857,,,
25,109,40,657,0.143678161,0.626436782,0.229885057,,,
24,107,40,657,0.140350877,0.625730994,0.233918129,,,
23,109,40,656,0.13372093,0.63372093,0.23255814,,,
23,108,40,657,0.134502924,0.631578947,0.233918129,,,
23,108,41,657,0.13372093,0.627906977,0.238372093,,,
24,108,40,657,0.139534884,0.627906977,0.23255814,,,
23,108,40,656,0.134502924,0.631578947,0.233918129,,,
23,108,39,656,0.135294118,0.635294118,0.229411765,,,
23,109,39,657,0.134502924,0.637426901,0.228070175,,,
25,110,40,657,0.142857143,0.628571429,0.228571429,,,
24,108,38,656,0.141176471,0.635294118,0.223529412,,,
24,109,40,657,0.138728324,0.630057803,0.231213873,,,
22,107,38,656,0.131736527,0.640718563,0.22754491,,,
24,108,39,657,0.140350877,0.631578947,0.228070175,,,
22,107,38,656,0.131736527,0.640718563,0.22754491,,,
24,109,38,657,0.140350877,0.637426901,0.222222222,,,
25,109,39,657,0.144508671,0.630057803,0.225433526,,,
23,107,38,656,0.136904762,0.636904762,0.226190476,,,
24,107,38,656,0.142011834,0.633136095,0.224852071,,,
25,106,38,657,0.147928994,0.627218935,0.224852071,,,
23,93,31,656,0.156462585,0.632653061,0.210884354,,,
25,101,35,657,0.155279503,0.627329193,0.217391304,,,
22,96,32,655,0.146666667,0.64,0.213333333,,,
24,99,35,656,0.151898734,0.626582278,0.221518987,,,
22,91,30,655,0.153846154,0.636363636,0.20979021,,,
23,95,33,656,0.152317881,0.629139073,0.218543046,,,
20,84,28,654,0.151515152,0.636363636,0.212121212,,,
22,86,29,655,0.160583942,0.627737226,0.211678832,,,
21,83,28,655,0.159090909,0.628787879,0.212121212,,,
22,88,30,655,0.157142857,0.628571429,0.214285714,,,
22,84,27,655,0.165413534,0.631578947,0.203007519,,,
20,83,28,658,0.152671756,0.633587786,0.213740458,,,
20,80,26,647,0.158730159,0.634920635,0.206349206,,,
16,68,22,653,0.150943396,0.641509434,0.20754717,,,
16,68,22,653,0.150943396,0.641509434,0.20754717,,,
14,61,22,651,0.144329897,0.628865979,0.226804124,,,
23,105,40,656,0.136904762,0.625,0.238095238,,,
23,107,41,657,0.134502924,0.625730994,0.239766082,,,
24,108,39,656,0.140350877,0.631578947,0.228070175,,,
26,110,41,657,0.146892655,0.621468927,0.231638418,,,
24,108,40,657,0.139534884,0.627906977,0.23255814,,,